PTSP,2019-10-23,0,0
PUDP,2019-10-23,0,0
PURE,2019-10-23,0,0
PWON,2019-10-23,12722700,17179500
PYFA,2019-10-23,1100,0
PZZA,2019-10-23,0,7500
R-ABFII,2019-10-23,0,0
R-LQ45X,2019-10-23,1000,500
RAJA,2019-10-23,0,0
RALS,2019-10-23,4092900,424500
RANC,2019-10-23,0,0
RBMS,2019-10-23,0,0
RDTX,2019-10-23,0,0
RELI,2019-10-23,0,0
RICY,2019-10-23,0,0
RIGS,2019-10-23,0,0
RIMO,2019-10-23,45800,33085000
RISE,2019-10-23,0,2111
RMBA,2019-10-23,0,0
RODA,2019-10-23,0,0
ROTI,2019-10-23,1515700,1465700
RUIS,2019-10-23,0,0
SAFE,2019-10-23,0,0
SAME,2019-10-23,0,0
SAPX,2019-10-23,0,0
SATU,2019-10-23,0,0
SCBD,2019-10-23,0,0
SCCO,2019-10-23,0,0
SCMA,2019-10-23,8448150,8490250
SCPI,2019-10-23,0,0
SDMU,2019-10-23,0,0
SDPC,2019-10-23,0,0
SDRA,2019-10-23,0,0
SFAN,2019-10-23,0,0
SGRO,2019-10-23,0,50000
SHID,2019-10-23,0,0
SHIP,2019-10-23,0,0
SIDO,2019-10-23,235600,380000
SILO,2019-10-23,269800,124600
SIMA,2019-10-23,0,0
SIMP,2019-10-23,3925500,1991500
SIPD,2019-10-23,0,0
SKBM,2019-10-23,3000,6000
SKLT,2019-10-23,0,0
SKRN,2019-10-23,0,100000
SKYB,2019-10-23,0,0
SLIS,2019-10-23,0,0
SMAR,2019-10-23,0,0
SMBR,2019-10-23,224200,331200
SMCB,2019-10-23,100,0
SMDM,2019-10-23,0,0
SMDR,2019-10-23,0,2000
SMGR,2019-10-23,2805725,3243525
SMKL,2019-10-23,0,0
SMMA,2019-10-23,0,0
SMMT,2019-10-23,708700,708700
SMRA,2019-10-23,2641600,13521
SMRU,2019-10-23,0,0
SMSM,2019-10-23,992400,726600
SOCI,2019-10-23,800000,200600
SONA,2019-10-23,16600,0
SOSS,2019-10-23,0,0
SOTS,2019-10-23,0,0
SPMA,2019-10-23,0,0
SPTO,2019-10-23,678000,2804600
SQMI,2019-10-23,0,0
SRAJ,2019-10-23,300,0
SRIL,2019-10-23,2343500,12000
SRSN,2019-10-23,500000,0
SRTG,2019-10-23,7900,0
SSIA,2019-10-23,2630200,4731400
SSMS,2019-10-23,259300,248600
SSTM,2019-10-23,0,0
STAR,2019-10-23,0,0
STTP,2019-10-23,0,0
SUGI,2019-10-23,0,0
SULI,2019-10-23,0,0
SUPR,2019-10-23,0,0
SURE,2019-10-23,200,0
SWAT,2019-10-23,0,59800
TALF,2019-10-23,0,0
TAMU,2019-10-23,494300,27600
TARA,2019-10-23,2719700,11127
TAXI,2019-10-23,0,0
TBIG,2019-10-23,2076625,8041225
TBLA,2019-10-23,1663100,780000
TBMS,2019-10-23,0,0
TCID,2019-10-23,0,0
TCPI,2019-10-23,26200,43200
TDPM,2019-10-23,0,0
TELE,2019-10-23,856300,1351200
TFAS,2019-10-23,0,0
TFCO,2019-10-23,0,0
TGKA,2019-10-23,0,0
TGRA,2019-10-23,5600,1555600
TIFA,2019-10-23,0,0
TINS,2019-10-23,1736000,1158000
TIRA,2019-10-23,0,0
TIRT,2019-10-23,0,0
TKIM,2019-10-23,186700,553700
TLKM,2019-10-23,74103625,83788925
TMAS,2019-10-23,0,0
TMPI,2019-10-23,0,0
TMPO,2019-10-23,0,0
TNCA,2019-10-23,0,0
TOBA,2019-10-23,0,0
TOPS,2019-10-23,393200,417300
TOTL,2019-10-23,338000,9500
TOTO,2019-10-23,0,0
TOWR,2019-10-23,698000,1879200
TPIA,2019-10-23,12700,35200
TPMA,2019-10-23,0,0
TRAM,2019-10-23,6920700,25104400
TRIL,2019-10-23,0,0
TRIM,2019-10-23,0,0
TRIO,2019-10-23,0,0
TRIS,2019-10-23,0,0
TRST,2019-10-23,0,0
TRUK,2019-10-23,0,0
TRUS,2019-10-23,0,0
TSPC,2019-10-23,1500,0
TUGU,2019-10-23,0,1000
TURI,2019-10-23,0,0
ULTJ,2019-10-23,0,5000
UNIC,2019-10-23,0,0
UNIT,2019-10-23,0,0
UNSP,2019-10-23,0,0
UNTR,2019-10-23,2056300,535800
UNVR,2019-10-23,971525,596225
URBN,2019-10-23,0,0
VICO,2019-10-23,0,0
VINS,2019-10-23,0,0
VIVA,2019-10-23,338400,10000
VOKS,2019-10-23,0,3000
VRNA,2019-10-23,0,0
WAPO,2019-10-23,0,0
WEGE,2019-10-23,1310100,1447100
WEHA,2019-10-23,0,0
WICO,2019-10-23,0,0
WIIM,2019-10-23,0,0
WIKA,2019-10-23,6107400,7917200
WINS,2019-10-23,0,100000
WOMF,2019-10-23,0,0
WOOD,2019-10-23,76700,111600
WSBP,2019-10-23,53386300,53936600
WSKT,2019-10-23,5320100,1422200
WTON,2019-10-23,2842200,479500
XAFA,2019-10-23,0,0
XAQA,2019-10-23,0,0
XBID,2019-10-23,0,0
XBIN,2019-10-23,0,0
XBLQ,2019-10-23,0,0
XBNI,2019-10-23,0,0
XBSK,2019-10-23,0,0
XCID,2019-10-23,0,0
XCIS,2019-10-23,0,0
XDIF,2019-10-23,0,0
XIHD,2019-10-23,0,0
XIIC,2019-10-23,0,0
XIIF,2019-10-23,0,0
XIIT,2019-10-23,0,0
XIJI,2019-10-23,0,0
XIPI,2019-10-23,0,0
XISB,2019-10-23,0,0
XISC,2019-10-23,0,0
XISI,2019-10-23,0,0
XISR,2019-10-23,0,0
XMIG,2019-10-23,0,0
XMJM,2019-10-23,0,0
XMTS,2019-10-23,0,0
XPCR,2019-10-23,0,0
XPDV,2019-10-23,0,0
XPES,2019-10-23,0,0
XPFT,2019-10-23,0,0
XPID,2019-10-23,0,0
XPLC,2019-10-23,0,0
XPLQ,2019-10-23,0,0
XPMI,2019-10-23,0,0
XPSG,2019-10-23,0,0
XPTD,2019-10-23,0,0
XSBC,2019-10-23,0,0
XSPI,2019-10-23,0,0
XSSI,2019-10-23,0,0
YELO,2019-10-23,0,0
YPAS,2019-10-23,0,0
YULE,2019-10-23,0,0
ZBRA,2019-10-23,0,0
ZINC,2019-10-23,1002800,378600
ZONE,2019-10-23,0,0
